Measurement Index,Width of Bead
0,33
1,31
2,37
3,28
4,29
5,28
6,25
7,30
8,30
9,31
10,26
11,29
12,29
13,27
14,30
15,28
16,30
17,32
18,29
19,29
20,32
21,30
22,32
23,32
24,29
25,28
26,32
27,29
28,28
29,31
30,32
31,30
32,32
33,31
34,33
35,32
36,28
37,31
38,30
39,29
40,32
41,31
42,27
43,31
44,29
45,32
46,32
47,33
48,29
49,33
50,31
51,29
52,33
53,28
54,28
55,31
56,28
57,29
58,32
59,26
60,31
61,28
62,29
63,29
64,39
65,29
66,25
67,27
68,29
69,26
70,27
71,25
72,32
73,27
74,27
75,32
76,28
77,28
78,28
79,26
80,29
81,27
82,28
83,28
84,25
85,28
86,28
87,30
88,27
89,26
90,25
91,28
92,27
93,27
94,26
95,25
96,29
97,23
98,33
99,25
100,26
101,33
102,28
103,31
104,27
105,32
106,5
107,28
108,27
109,24
110,30
111,28
112,28
113,31
114,30
115,30
116,33
117,28
118,28
119,30
120,29
121,26
122,32
123,29
124,27
125,31
126,30
127,27
128,28
129,26
130,26
131,4
132,25
133,28
134,24
135,30
136,29
137,30
138,27
139,27
140,25
141,30
142,31
143,28
144,32
145,30
146,33
147,33
148,34
149,31
150,28
151,28
152,31
153,30
154,29
155,28
156,31
157,29
158,30
159,32
160,34
161,30
162,32
163,32
164,31
165,33
166,32
167,31
168,32
169,33
170,32
171,32
172,31
173,32
174,32
175,34
176,32
177,33
178,31
179,32
180,27
181,28
182,31
183,32
184,31
185,32
186,33
187,29
188,31
189,32
190,31
191,32
192,29
193,33
194,32
195,32
196,30
197,32
198,33
199,33
200,34
201,33
202,33
203,33
204,35
205,35
